x (m),y (m),z (m),t (s),id
-4.18612268293055e-06,-8.04995570289842e-06,-2.48121330226132e-08,3.552972975,1
-4.18560481593592e-06,-8.05023995808017e-06,-2.48834672085267e-08,3.553222975,1
-4.18508694894129e-06,-8.05052421326193e-06,-2.49548013944402e-08,3.553472975,1
-4.18456908194665e-06,-8.05080846844369e-06,-2.50261355803537e-08,3.553722975,1
-4.18405121495202e-06,-8.05109272362544e-06,-2.50974697662671e-08,3.553972975,1
-4.18353334795739e-06,-8.0513769788072e-06,-2.51688039521807e-08,3.554222975,1
-4.18301548096276e-06,-8.05166123398895e-06,-2.52401381380941e-08,3.554472975,1
-4.18249761396813e-06,-8.05194548917071e-06,-2.53114723240076e-08,3.554722975,1
-4.1819797469735e-06,-8.05222974435246e-06,-2.53828065099211e-08,3.554972975,1
-4.18146187997887e-06,-8.05251399953422e-06,-2.54541406958346e-08,3.555222975,1
-4.18094401298424e-06,-8.05279825471597e-06,-2.5525474881748e-08,3.555472975,1
-4.18042614598961e-06,-8.05308250989773e-06,-2.55968090676615e-08,3.555722975,1
-4.17990827899498e-06,-8.05336676507949e-06,-2.5668143253575e-08,3.555972975,1
-4.17939041200034e-06,-8.05365102026124e-06,-2.57394774394885e-08,3.556222975,1
-4.17887254500571e-06,-8.053935275443e-06,-2.58108116254019e-08,3.556472975,1
-4.17835467801108e-06,-8.05421953062475e-06,-2.58821458113155e-08,3.556722975,1
-4.17783681101645e-06,-8.05450378580651e-06,-2.59534799972289e-08,3.556972975,1
-4.17731894402182e-06,-8.05478804098826e-06,-2.60248141831424e-08,3.557222975,1
-4.17680107702719e-06,-8.05507229617002e-06,-2.6096148369056e-08,3.557472975,1
-4.17628321003256e-06,-8.05535655135178e-06,-2.61674825549694e-08,3.557722975,1
-4.17576534303793e-06,-8.05564080653353e-06,-2.62388167408828e-08,3.557972975,1
-4.1752474760433e-06,-8.05592506171529e-06,-2.63101509267964e-08,3.558222975,1
-4.17472960904867e-06,-8.05620931689704e-06,-2.63814851127099e-08,3.558472975,1
-4.17421174205404e-06,-8.0564935720788e-06,-2.64528192986233e-08,3.558722975,1
-4.1736938750594e-06,-8.05677782726055e-06,-2.65241534845369e-08,3.558972975,1
-4.17317600806477e-06,-8.05706208244231e-06,-2.65954876704503e-08,3.559222975,1
-4.17265814107014e-06,-8.05734633762407e-06,-2.66668218563638e-08,3.559472975,1
-4.17214027407551e-06,-8.05763059280582e-06,-2.67381560422772e-08,3.559722975,1
